subject	block	trial	trigger	word	priming	dur	ia
A0123	1	411	5	0	1	541	prime
A0123	1	412	5	0	1	1463	prime
A0123	1	413	1	0	0	479	prime
A0123	1	414	1	0	0	-2	prime
A0123	1	415	1	0	0	447	prime
A0123	1	416	5	0	1	406	prime
A0123	1	417	1	0	0	557	prime
A0123	1	418	5	0	1	568	prime
A0123	1	419	5	0	1	-2	prime
A0123	1	420	1	0	0	409	prime
A0123	1	421	1	0	0	326	prime
A0123	1	422	9	1	0	462	prime
A0123	1	423	1	0	0	819	prime
A0123	1	424	1	0	0	717	prime
A0123	1	425	1	0	0	451	prime
A0123	1	426	1	0	0	395	prime
A0123	1	427	9	1	0	-1	prime
A0123	1	428	5	0	1	759	prime
A0123	1	429	1	0	0	567	prime
A0123	1	430	1	0	0	523	prime
A0123	1	431	1	0	0	729	prime
A0123	1	432	9	1	0	710	prime
A0123	1	433	5	0	1	922	prime
A0123	1	434	1	0	0	1071	prime
A0123	1	435	5	0	1	513	prime
A0123	1	436	1	0	0	620	prime
A0123	1	437	9	1	0	2496	prime
A0123	1	438	5	0	1	890	prime
A0123	1	439	1	0	0	758	prime
A0123	1	440	1	0	0	767	prime
A0123	1	441	1	0	0	929	prime
A0123	1	442	1	0	0	410	prime
A0123	1	443	9	1	0	540	prime
A0123	1	444	5	0	1	838	prime
A0123	1	445	1	0	0	813	prime
A0123	1	446	1	0	0	-2	prime
A0123	1	447	1	0	0	582	prime
A0123	1	448	1	0	0	477	prime
A0123	1	449	1	0	0	356	prime
A0123	1	450	1	0	0	505	prime
A0123	1	451	1	0	0	1127	prime
A0123	1	452	1	0	0	556	prime
A0123	1	453	1	0	0	139	prime
A0123	1	454	9	1	0	-1	prime
A0123	1	455	1	0	0	489	prime
A0123	1	456	5	0	1	149	prime
A0123	1	457	1	0	0	692	prime
A0123	1	458	1	0	0	598	prime
A0123	1	459	1	0	0	652	prime
A0123	1	460	1	0	0	719	prime
A0123	1	461	1	0	0	603	prime
A0123	1	462	1	0	0	1899	prime
A0123	1	463	9	1	0	453	prime
A0123	1	464	9	1	0	-1	prime
A0123	1	465	1	0	0	672	prime
A0123	1	466	1	0	0	394	prime
A0123	1	467	1	0	0	970	prime
A0123	1	468	1	0	0	959	prime
A0123	1	469	1	0	0	560	prime
A0123	1	470	5	0	1	456	prime
A0123	1	471	1	0	0	232	prime
